Trial,ParticipantID,Saccade,Direction,Amplitude,Duration,PeakVelocity,MeanVelocity,Blink,StartTime,EndTime,StartX,StartY,EndX,EndY,Year,Task,ParticipantGender,SearchOrder,Item
6,2019-4_2_m12,109,DOWN,14.91,68,406,219.29,FALSE,23280,23344,1246,176.4,1389.9,764.3,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,110,LEFT,1.02,20,95.6,50.96,FALSE,23524,23540,1382.9,773.7,1335.7,756,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,111,DOWN,4.22,32,264.1,132.01,FALSE,23732,23760,1347.4,774,1499.5,905.5,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,112,UP,3.76,28,269.6,134.33,FALSE,23984,24008,1487.8,909.1,1579,763.7,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,113,UP,0.59,16,56.7,36.75,FALSE,24284,24296,1600.2,728.7,1595.2,704.1,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,114,UP,12.62,68,426.2,185.58,FALSE,24340,24404,1588.5,704,1564.8,192,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,115,RIGHT,1.12,16,103.7,70.24,FALSE,24672,24684,1554.9,187.8,1610.8,194.9,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2018-5_1_m2,46,LEFT,11.94,60,434.49,199.06,FALSE,14825,14884,1644.7,143.3,995.2,89.1,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,47,DOWN,5.63,35,282.8,160.93,FALSE,15268,15302,956.2,99.5,857.9,306.4,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,48,.,0.49,9,45.15,54.04,FALSE,15525,15533,857.9,305.8,870.9,289.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2019-4_2_m12,119,LEFT,2.88,28,186.5,102.95,FALSE,25672,25696,1508,50.6,1367.3,39.6,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,120,LEFT,23.79,120,470.4,198.28,FALSE,25872,25988,1347.4,59.5,359.6,551.7,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,121,DOWN,4.71,48,395.1,98.03,FALSE,26152,26196,347.3,564.5,218.7,727.2,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,122,DOWN,2.3,52,136.6,44.24,FALSE,26332,26380,203.1,762.1,166.1,856.4,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,123,UP,3.98,28,273.8,142.09,FALSE,26588,26612,170.7,870.4,180.3,699.9,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2018-5_1_m2,54,DOWN,10.05,45,370.9,223.26,FALSE,17382,17426,235.8,380.8,214.6,805,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,55,DOWN,6.48,35,345.34,185.04,FALSE,17719,17753,197.9,781,269.6,1071.6,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,56,RIGHT,7.68,41,317.18,187.38,FALSE,18080,18120,273.7,1072.1,731.6,1039.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,57,UP,2.1,26,106.13,80.87,FALSE,18329,18354,701.8,1048.9,647,962.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,58,RIGHT,2.12,24,117.26,88.48,FALSE,18765,18788,631.8,947.2,747.5,915.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,59,RIGHT,1.16,18,77.59,64.45,FALSE,19090,19107,759.3,899.4,825,892.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2019-4_2_m12,130,LEFT,2.18,24,151.8,90.8,FALSE,28296,28316,767,130.7,688.7,78.2,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,131,RIGHT,5.26,44,284.6,119.49,FALSE,28496,28536,666.6,95.3,907.7,135.8,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,132,RIGHT,3.49,32,230.2,109.04,FALSE,28692,28720,888.4,143.9,1045.7,179.7,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,133,UP,2.07,24,162.6,86.34,FALSE,28808,28828,1038.8,181.8,1025.6,104.3,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,134,RIGHT,12.88,72,388.8,178.91,FALSE,28920,28988,1026.4,106.2,1638.4,225.8,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,135,.,0.21,8,44.7,26.66,FALSE,29540,29544,1628.9,213.7,1639,210.6,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,136,LEFT,1.44,20,113.1,71.76,FALSE,29852,29868,1637.4,213.1,1574.1,185.4,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,137,UP,1.43,20,124.1,71.61,FALSE,29968,29984,1575.5,193.7,1621.3,150.3,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,138,UP,2.01,24,139.6,83.62,FALSE,30124,30144,1585.4,144.9,1578.7,66.8,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,139,LEFT,16.23,80,369.4,202.82,FALSE,30276,30352,1556.1,61,942.9,460.3,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,140,LEFT,3.14,32,183.9,98.16,FALSE,30508,30536,924.2,476.6,775.1,467.4,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,141,LEFT,1.83,20,156.8,91.66,FALSE,30668,30684,774.9,470.1,695.2,441.1,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,142,LEFT,2.04,24,143.2,85.06,FALSE,30956,30976,695.1,447.5,598.2,439.7,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2018-5_1_m2,73,LEFT,0.64,10,53.9,64.49,FALSE,23755,23764,1266.4,703.2,1232.2,694.5,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,74,UP,6.56,42,268.86,156.24,FALSE,23894,23935,1227.2,700.3,1303.1,437.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,75,UP,2.82,25,167.72,112.83,FALSE,24205,24229,1291.7,455.4,1396.9,372.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,76,RIGHT,3.68,31,177.92,118.61,FALSE,24504,24534,1401.6,367.6,1595.4,414.9,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,77,UP,4.63,35,200.81,132.29,FALSE,24848,24882,1587.7,409.6,1438.6,259,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,78,RIGHT,3.46,30,166.63,115.33,FALSE,25217,25246,1438.8,261.3,1601.4,189.1,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,79,LEFT,5.39,39,250,138.19,FALSE,25485,25523,1592,183.4,1299.7,217.5,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2019-4_1_f,1,LEFT,1.78,24,99.59,74.02,FALSE,284,304,803,491.3,721.4,473.1,2019,SocialEngagement,Female,NA,eggs.jpg
6,2019-4_1_f,2,RIGHT,2.09,24,134.55,87.26,FALSE,568,588,701.1,475.5,799.7,488.1,2019,SocialEngagement,Female,NA,eggs.jpg
6,2019-4_1_f,3,UP,1,16,80.5,62.44,FALSE,848,860,811.8,490.9,813.1,452,2019,SocialEngagement,Female,NA,eggs.jpg
6,2018-5_1_m2,82,UP,5.06,35,230.71,144.51,FALSE,26473,26507,943.6,479.5,848.4,292,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,83,UP,5.58,39,229.89,143.1,FALSE,26933,26971,851.8,286.3,1011.3,102.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,84,LEFT,1.83,23,107.5,79.35,FALSE,27287,27309,999.8,111.4,904.6,96.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2019-4_2_m12,155,LEFT,3.69,36,180.6,102.48,FALSE,33732,33764,814.7,510.4,660.1,441.9,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,156,RIGHT,4.92,36,271.2,136.69,FALSE,33956,33988,660.8,445.6,856.2,552.6,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2019-4_2_m12,157,.,0.46,12,57.2,38.15,FALSE,34148,34156,853.9,553.5,852.1,535.5,2019,VisualSearch_Count,Male,1,eggs.jpg
6,2018-5_1_m2,88,DOWN,15.28,57,411.92,268.05,FALSE,29224,29280,1626.5,157.9,1730.8,791.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,89,DOWN,2.26,24,126.5,94,FALSE,29617,29640,1715.2,770.5,1692.8,868.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,90,DOWN,4.67,31,243.19,150.68,FALSE,29828,29858,1691.4,876.5,1665.9,1091.9,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,91,LEFT,0.66,13,48.16,50.88,FALSE,30162,30174,1660.4,1108,1620.4,1102.5,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,92,UP,8.42,47,256.1,179.08,FALSE,30591,30637,1597.6,1102.8,1548.3,723.8,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,93,RIGHT,2.29,22,132.8,104.06,FALSE,30991,31012,1529.7,730,1630.9,667.4,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,94,LEFT,3.09,26,161.32,118.77,FALSE,31387,31412,1642.9,663.8,1474.2,625.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,95,DOWN,4.84,39,227.19,124.22,FALSE,31861,31899,1452.7,643.6,1378.3,843.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,96,DOWN,6.55,42,280.7,156.01,FALSE,32173,32214,1373.9,836.2,1252.3,1119.9,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,97,LEFT,1.4,18,94.47,77.58,FALSE,32479,32496,1253.9,1110.4,1171.5,1103.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,98,LEFT,3.25,26,180.11,124.97,FALSE,32672,32697,1154.8,1095,968.3,1132.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,99,LEFT,8.08,56,307.45,144.3,FALSE,32896,32951,958.7,1135.3,477.7,1101.9,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,100,LEFT,3.72,33,182.68,112.87,FALSE,33257,33289,459.7,1113,232.2,1108.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,101,UP,3.7,36,152.86,102.72,FALSE,33496,33531,252.4,1089.9,221.6,919.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,102,UP,1.03,15,70.15,68.62,FALSE,33928,33942,216.2,922.6,246.8,882.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,103,UP,9.16,52,303.21,176.2,FALSE,34142,34193,249.7,872.3,248.9,479.7,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,104,UP,6.67,40,298.22,166.72,FALSE,34613,34652,245.7,481,266.7,212,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,105,DOWN,14.58,65,489.09,224.31,FALSE,34990,35054,244.5,241.3,534.1,810.3,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,106,LEFT,2.21,22,135.81,100.59,FALSE,35314,35335,524.1,820.7,396.3,821.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,107,DOWN,4.21,33,229.82,127.65,FALSE,35546,35578,400.9,822.5,516.4,989.2,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-5_1_m2,108,RIGHT,6.81,41,284.04,166.01,FALSE,35757,35797,517.6,988.2,910.1,946.6,2018,VisualSearch_Star,Male,2,eggs.jpg
6,2018-3_1_f1,1,UP,3.52,44,236.43,79.97,FALSE,386,429,895.2,646.8,758.4,544.8,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,2,LEFT,1.49,38,174.59,39.23,FALSE,629,666,750.6,533.9,676.9,507.8,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,3,LEFT,5.93,48,383.99,123.47,FALSE,799,846,655.6,512.9,423.4,345.5,2018,VisualSearch_Count,Female,1,eggs.jpg
6,2018-3_1_f1,4,UP,3.9,32,225.5,121.9,FALSE,1088,1119,413.7,315.4,314.4,177.9,2018,VisualSearch_Count,Female,1,eggs.jpg
